route_key_hash,route_key,source,account_code,provider,model,egress_id,epoch,created_at,updated_at
TOKEN-R5CGTQ6MAPBUJB5RBPAOCME2QE,previous_response_id:TOKEN-WQWXG2DS2DNS7PMDK3MDUZLEXE,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413816,1785413816
TOKEN-LGX45XST2X4EU6VYZ5TC7OLMAY,previous_response_id:TOKEN-DPWAQGNV23X44H4WJVNGWV27HY,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413833,1785413833
TOKEN-MOYZTBSZFFGNCDEOLJ6WYKGWFA,previous_response_id:TOKEN-EN2DBPRJL2GAUVM4BWA67RABJM,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413833,1785413833
TOKEN-KZYTBUIDDEH2C6SANGD3NL5TLU,previous_response_id:TOKEN-UKBGLMUGSW73HNULKYHKEBPLB4,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413840,1785413840
ce76ec5ef67e3e3a7e6757f535e330e50a728dee1c7032c76a6de6c56300e8a8,previous_response_id:TOKEN-FGRTWMLB5LN3LR6TAYU6L4AVRM,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413849,1785413849
TOKEN-BKFOY6SOZE445SRQDN6RPJOXMQ,previous_response_id:TOKEN-Y6ZV74AGHN5PK5BOPO2MXIVRVM,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413860,1785413860
TOKEN-ZQR5QWL3FQDUZH2IEKXEN6SUS4,previous_response_id:TOKEN-H5UGGMVZ5ZU3ZDZGH5TPPCA4DE,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413873,1785413873
TOKEN-4JUWEMMWIHXGTS7DIF37DQTSAA,previous_response_id:TOKEN-5MEJ32RZWLFM7QBH3SHBPTP3EI,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413877,1785413877
TOKEN-V7E2Z2PJNERSC3JNXA3DZ3FWNM,previous_response_id:TOKEN-2HBCIRFKSKZF5U4PRKOFGHDX7Y,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413896,1785413896
TOKEN-MXFKXU3H2DUK4HB6JSXOU6UQJI,previous_response_id:TOKEN-HOVTPOEUUVRYYJQASQKQFOQV3I,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413903,1785413903
TOKEN-OCSBCQU46IOVNED27UJX7T5JAE,previous_response_id:TOKEN-AMDTKBEVRTR4LZKSKXQYPBK47A,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413912,1785413912
TOKEN-4CXX376FG32XJ6PLMKTMH6PN5M,previous_response_id:TOKEN-P7KOEWSN57VRLTOHVH757V6D3U,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413928,1785413928
TOKEN-5TB6HJI4F4F6OVWXSRUFYRVUHY,previous_response_id:TOKEN-KGPII4XYQ2P7IT3VBJMV7XVQZQ,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413946,1785413946
TOKEN-VGIN44BS27QLX2HRX7E3WBNJKQ,previous_response_id:TOKEN-7Z66EK2KYFFW4YCXHL4XWOEXEE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413947,1785413947
